method,horizon,C,max_iter,n_train,n_positive,n_estimators,num_leaves,learning_rate,min_child_samples,reg_lambda,class_weight,scale_pos_weight,iterations,depth,l2_leaf_reg,auto_class_weights,k,width,epochs,patience,batch_size,best_epoch
map_logistic,300,1.0,2000.0,45796.0,1451.0,,,,,,,,,,,,,,,,,
lgbm_plain,300,,,45796.0,1451.0,500.0,7.0,0.03,150.0,10.0,,,,,,,,,,,,
lgbm_class_weight,300,,,45796.0,1451.0,500.0,7.0,0.03,150.0,10.0,balanced,,,,,,,,,,,
lgbm_scale_pos_20x,300,,,45796.0,1451.0,500.0,7.0,0.03,150.0,10.0,,611.2336319779463,,,,,,,,,,
lgbm_oversample_3x,300,,,50149.0,5804.0,500.0,7.0,0.03,150.0,10.0,,,,,,,,,,,,
lgbm_smote_3x,300,,,50149.0,5804.0,500.0,7.0,0.03,150.0,10.0,,,,,,,,,,,,
lgbm_jitter_3x,300,,,50149.0,5804.0,500.0,7.0,0.03,150.0,10.0,,,,,,,,,,,,
catboost_plain,300,,,45796.0,1451.0,,,0.05,,,,,300.0,5.0,5.0,,,,,,,
catboost_balanced,300,,,45796.0,1451.0,,,0.05,,,,,300.0,5.0,5.0,Balanced,,,,,,
catboost_balanced_jitter,300,,,50149.0,5804.0,,,0.05,,,,,300.0,5.0,5.0,Balanced,,,,,,
tabm_20260917,300,,,,,,,,,,,,,,,,16.0,64.0,30.0,6.0,512.0,5.0
tabm_20260918,300,,,,,,,,,,,,,,,,16.0,64.0,30.0,6.0,512.0,5.0
tabm_20260919,300,,,,,,,,,,,,,,,,16.0,64.0,30.0,6.0,512.0,5.0
map_logistic,600,1.0,2000.0,43642.0,2566.0,,,,,,,,,,,,,,,,,
lgbm_plain,600,,,43642.0,2566.0,500.0,7.0,0.03,150.0,10.0,,,,,,,,,,,,
lgbm_class_weight,600,,,43642.0,2566.0,500.0,7.0,0.03,150.0,10.0,balanced,,,,,,,,,,,
lgbm_scale_pos_20x,600,,,43642.0,2566.0,500.0,7.0,0.03,150.0,10.0,,320.15588464536245,,,,,,,,,,
lgbm_oversample_3x,600,,,51340.0,10264.0,500.0,7.0,0.03,150.0,10.0,,,,,,,,,,,,
lgbm_smote_3x,600,,,51340.0,10264.0,500.0,7.0,0.03,150.0,10.0,,,,,,,,,,,,
lgbm_jitter_3x,600,,,51340.0,10264.0,500.0,7.0,0.03,150.0,10.0,,,,,,,,,,,,
catboost_plain,600,,,43642.0,2566.0,,,0.05,,,,,300.0,5.0,5.0,,,,,,,
catboost_balanced,600,,,43642.0,2566.0,,,0.05,,,,,300.0,5.0,5.0,Balanced,,,,,,
catboost_balanced_jitter,600,,,51340.0,10264.0,,,0.05,,,,,300.0,5.0,5.0,Balanced,,,,,,
tabm_20260917,600,,,,,,,,,,,,,,,,16.0,64.0,30.0,6.0,512.0,5.0
tabm_20260918,600,,,,,,,,,,,,,,,,16.0,64.0,30.0,6.0,512.0,5.0
tabm_20260919,600,,,,,,,,,,,,,,,,16.0,64.0,30.0,6.0,512.0,5.0
