method,horizon,family,description,raw_mean,calibrated_mean,prevalence
map_logistic,300,baseline,Hồi quy logistic trên 3 đặc trưng MAP,0.034538950720077226,0.025141639352930945,0.025116519937856033
lgbm_plain,300,lightgbm,"LightGBM, không cân bằng lớp, không augment",0.03287494003779985,0.025194699576538047,0.025116519937856033
lgbm_class_weight,300,lightgbm,LightGBM + class_weight='balanced',0.22290273713775652,0.025199072339504313,0.025116519937856033
lgbm_scale_pos_20x,300,lightgbm,LightGBM + scale_pos_weight = 20x tỷ lệ lớp,0.4185664556408976,0.02514551431445022,0.025116519937856033
lgbm_oversample_3x,300,lightgbm,LightGBM + nhân bản window dương 3x,0.06971228542070307,0.02511682381378532,0.025116519937856033
lgbm_smote_3x,300,lightgbm,"LightGBM + SMOTE nội suy 5 láng giềng, 3x",0.03391287199076612,0.025117478648811534,0.025116519937856033
lgbm_jitter_3x,300,lightgbm,"LightGBM + nhiễu Gaussian trên window dương, 3x",0.034728076002044396,0.025117174312317428,0.025116519937856033
catboost_plain,300,catboost,"CatBoost, không cân bằng lớp",0.03510817739888119,0.025155739627398255,0.025116519937856033
catboost_balanced,300,catboost,CatBoost + auto_class_weights='Balanced',0.18343152252932743,0.0251886770051122,0.025116519937856033
catboost_balanced_jitter,300,catboost,CatBoost balanced + nhiễu Gaussian 3x,0.11160858994750117,0.02519243728137859,0.025116519937856033
tabm_20260917,300,tabm,"TabM backbone E06 seed 20260917, calibrate lại",0.03479793295264244,0.025112366303801537,0.025116519937856033
tabm_20260918,300,tabm,"TabM backbone E06 seed 20260918, calibrate lại",0.03372197970747948,0.02511308528482914,0.025116519937856033
tabm_20260919,300,tabm,"TabM backbone E06 seed 20260919, calibrate lại",0.038388337939977646,0.02511243149638176,0.025116519937856033
ensemble_diverse_6,300,ensemble,Trung bình xác suất đã calibrate của 6 thành viên đa dạng,0.02513152159584793,0.02513152159584793,0.025116519937856033
map_logistic,600,baseline,Hồi quy logistic trên 3 đặc trưng MAP,0.06314484483008638,0.055347275932653095,0.05528322440087146
lgbm_plain,600,lightgbm,"LightGBM, không cân bằng lớp, không augment",0.06459754114129185,0.05525712543180721,0.05528322440087146
lgbm_class_weight,600,lightgbm,LightGBM + class_weight='balanced',0.2922082365226938,0.05530219365809076,0.05528322440087146
lgbm_scale_pos_20x,600,lightgbm,LightGBM + scale_pos_weight = 20x tỷ lệ lớp,0.5407912251814188,0.055281465510853056,0.05528322440087146
lgbm_oversample_3x,600,lightgbm,LightGBM + nhân bản window dương 3x,0.13110489783035859,0.05529237706552429,0.05528322440087146
lgbm_smote_3x,600,lightgbm,"LightGBM + SMOTE nội suy 5 láng giềng, 3x",0.06740114555284372,0.05525506831403102,0.05528322440087146
lgbm_jitter_3x,600,lightgbm,"LightGBM + nhiễu Gaussian trên window dương, 3x",0.06757495033557238,0.05525527485448038,0.05528322440087146
catboost_plain,600,catboost,"CatBoost, không cân bằng lớp",0.06647376150528789,0.055267654653914706,0.05528322440087146
catboost_balanced,600,catboost,CatBoost + auto_class_weights='Balanced',0.241705974940918,0.05532146252647345,0.05528322440087146
catboost_balanced_jitter,600,catboost,CatBoost balanced + nhiễu Gaussian 3x,0.14360905209216637,0.05523973210451946,0.05528322440087146
tabm_20260917,600,tabm,"TabM backbone E06 seed 20260917, calibrate lại",0.06287486851215363,0.05528766289353371,0.05528322440087146
tabm_20260918,600,tabm,"TabM backbone E06 seed 20260918, calibrate lại",0.0644427016377449,0.05521341413259506,0.05528322440087146
tabm_20260919,600,tabm,"TabM backbone E06 seed 20260919, calibrate lại",0.06972885131835938,0.05522777885198593,0.05528322440087146
ensemble_diverse_6,600,ensemble,Trung bình xác suất đã calibrate của 6 thành viên đa dạng,0.055261855894092674,0.055261855894092674,0.05528322440087146
