method,horizon,policy,resolved_policy,threshold,cal_recall,cal_fa_per_hour,recall,ppv,fa_per_hour,events_detected,events_eligible,auroc,average_precision,ece,gates_met,gates_total,failed_gates,recall_ci_low,recall_ci_high,ppv_ci_low,ppv_ci_high,fa_ci_low,fa_ci_high,family,description
map_logistic,300,recall_first,recall_first,0.05166082045671691,0.6461538461538462,1.8720870015535993,0.8260869565217391,0.2159090909090909,1.2038383250945042,19,23,0.8809337520403094,0.19487430966511304,0.0040866479509916315,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.6414915966386555,0.9525297619047619,0.13323529411764706,0.3111111111111111,0.8091561882333151,1.6936337851587246,baseline,Hồi quy logistic trên 3 đặc trưng MAP
map_logistic,300,fa_budget,max_recall_within_fa_budget,0.09634761541877485,0.13846153846153847,0.31071983428275507,0.21739130434782608,0.29411764705882354,0.20936318697295725,5,23,0.8809337520403094,0.19487430966511304,0.0040866479509916315,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.05541666666666667,0.4381009615384617,0.09090909090909091,0.5007352941176473,0.08914139497063457,0.3604821451135315,baseline,Hồi quy logistic trên 3 đặc trưng MAP
lgbm_plain,300,recall_first,recall_first,0.037103589283429404,0.676923076923077,2.4236147074054895,0.782608695652174,0.13636363636363635,1.9889502762430937,18,23,0.8719741324249521,0.216448993447861,0.004254033093817776,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.5293343653250774,0.9584134615384616,0.059248366013071894,0.2482122572618597,1.321746967716123,2.7335987241990156,lightgbm,"LightGBM, không cân bằng lớp, không augment"
lgbm_plain,300,fa_budget,max_recall_within_fa_budget,0.16926179588915627,0.35384615384615387,0.4117037804246505,0.43478260869565216,0.38461538461538464,0.279150915963943,10,23,0.8719741324249521,0.216448993447861,0.004254033093817776,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.19980769230769233,0.6334090909090909,0.21407563025210083,0.6510576923076926,0.07631043653040578,0.5407856607220811,lightgbm,"LightGBM, không cân bằng lớp, không augment"
lgbm_class_weight,300,recall_first,recall_first,0.03137305323783615,0.6461538461538462,2.8586224754013467,0.7391304347826086,0.10967741935483871,2.4076766501890083,17,23,0.861244766162799,0.21656571754923715,0.00581326510670442,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.5714285714285714,0.8889880952380952,0.054118429023356,0.18853369763205827,1.6489922071252745,3.2553934812852408,lightgbm,LightGBM + class_weight='balanced'
lgbm_class_weight,300,fa_budget,max_recall_within_fa_budget,0.14666904931776079,0.2923076923076923,0.4660797514241326,0.30434782608695654,0.3181818181818182,0.2617039837161966,7,23,0.861244766162799,0.21656571754923715,0.00581326510670442,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.10513157894736842,0.5187134502923977,0.14285714285714285,0.5333928571428571,0.08828107423252296,0.48367533059735535,lightgbm,LightGBM + class_weight='balanced'
lgbm_scale_pos_20x,300,recall_first,recall_first,0.029322945654603815,0.6461538461538462,3.3169342309684104,0.6956521739130435,0.09815950920245399,2.564699040418726,16,23,0.8554006103186431,0.19731379385156786,0.005217897532771501,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.4993421052631579,0.882516339869281,0.04542929292929293,0.16351059654631087,1.713117716483347,3.5119388712256905,lightgbm,LightGBM + scale_pos_weight = 20x tỷ lệ lớp
lgbm_scale_pos_20x,300,fa_budget,max_recall_within_fa_budget,0.13564102564102565,0.24615384615384617,0.4816157431382704,0.34782608695652173,0.3076923076923077,0.31404478045943585,8,23,0.8554006103186431,0.19731379385156786,0.005217897532771501,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.14285714285714285,0.5555555555555556,0.1871228448275862,0.5266995614035088,0.10795914788653675,0.6351193336536923,lightgbm,LightGBM + scale_pos_weight = 20x tỷ lệ lớp
lgbm_oversample_3x,300,recall_first,recall_first,0.03265088700079,0.6615384615384615,2.6255825996892805,0.782608695652174,0.12857142857142856,2.1285257342250654,18,23,0.8592363920232773,0.2000109874699347,0.004848293083270909,1,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage,false_alarms_per_hour",0.5881845841784991,0.9131340579710144,0.06239853896103896,0.20732363719651858,1.428508687757422,2.9229708299844477,lightgbm,LightGBM + nhân bản window dương 3x
lgbm_oversample_3x,300,fa_budget,max_recall_within_fa_budget,0.16076923076923078,0.35384615384615387,0.41947177628171933,0.43478260869565216,0.37037037037037035,0.29659784821168944,10,23,0.8592363920232773,0.2000109874699347,0.004848293083270909,2,6,"auroc,event_sensitivity,alarm_ppv,prediction_coverage",0.19191176470588237,0.6666666666666666,0.21202651515151516,0.588529411764706,0.08200412291097946,0.551511359455882,lightgbm,LightGBM + nhân bản window dương 3x
