,eligible,fit/cal/val,global test,loại
số ca,3626,3110,516,2762
số bệnh nhân,3493,2991,502,2679
"tuổi, median [IQR]",60.0 [51.0–69.0],60.0 [51.0–69.0],61.0 [50.8–69.0],57.0 [46.0–66.0]
nữ (%),44.2,44.6,41.5,55.9
"BMI, median [IQR]",22.9 [20.7–25.2],22.9 [20.7–25.1],23.2 [21.3–25.4],23.3 [21.1–25.7]
ASA ≥3 (%),15.5,16.0,12.0,7.3
mổ cấp cứu (%),13.0,13.2,11.4,11.3
THA trước mổ (%),33.2,33.3,32.6,27.5
"thời gian mổ (giờ), median [IQR]",2.5 [1.6–3.8],2.5 [1.6–3.8],2.6 [1.7–3.7],1.1 [0.7–2.0]
"EBL (mL), median [IQR]",200.0 [100.0–400.0],200.0 [100.0–400.0],200.0 [100.0–400.0],80.0 [50.0–150.0]
