cấu hình,số feature,AUROC,AP
Chỉ MAP,20,0.8728196153946648,0.2451126001072798
Tất cả,173,0.88055894229283,0.24460156654767554
MAP + SBP/DBP,60,0.8760613132187898,0.25878814937250605
Tất cả − SBP/DBP,133,0.8808815506608152,0.24384703404389196
MAP + HR,40,0.8758079611358911,0.24630909599084913
Tất cả − HR,153,0.8781864423266712,0.2402890911239591
MAP + SpO2,40,0.8734127325161721,0.24697217055288842
Tất cả − SpO2,153,0.8805006725729686,0.244150208993224
MAP + EtCO2/RR,60,0.8731076900604955,0.2449899870621303
Tất cả − EtCO2/RR,133,0.88131563016766,0.24511073741844666
MAP + Beat (ART waveform),34,0.8762222396412273,0.25145021324885075
Tất cả − Beat (ART waveform),159,0.879716880306566,0.24389809219454575
MAP + Độ mê / thuốc mê,28,0.8773019451257268,0.24138563813740904
Tất cả − Độ mê / thuốc mê,165,0.8794452382683787,0.25596829715349856
MAP + Thở máy / CVP,24,0.8730743840833947,0.24886344344310823
Tất cả − Thở máy / CVP,169,0.8798845434767347,0.24224750563410868
MAP + Static,27,0.8741338478445713,0.2459635126084508
Tất cả − Static,166,0.8800521436866442,0.2481209234610517
