feature,nhóm,% thiếu,p1,p25,median,p75,p99
map_60_missing,MAP,0.0,0.0,0.0,0.0,0.0,0.0
map_60_mean,MAP,0.0,67.06666564941406,76.86666870117188,84.19999694824219,93.19999694824219,132.1999969482422
map_60_std,MAP,0.0,0.4000000059604645,0.8621678352355957,1.3085191249847412,2.0773916244506836,48.84820522308343
map_60_min,MAP,0.0,65.0,74.0,81.0,89.0,114.0
map_60_max,MAP,0.0,68.0,79.0,87.0,97.0,238.0
map_60_slope,MAP,0.0,-0.39333815932273863,-0.03915461525321007,-0.004226918797940016,0.03248053416609764,0.462328155934806
map_300_missing,MAP,0.0,0.0,0.0,0.0,0.0,0.0
map_300_mean,MAP,0.0,66.85333251953125,77.2933349609375,84.61333465576172,93.45333099365234,121.17333221435547
map_300_std,MAP,0.0,0.709804356098175,1.8701039552688599,2.963800072669983,5.029399275779724,55.57840713500967
map_300_min,MAP,0.0,34.0,70.0,77.0,85.0,107.0
map_300_max,MAP,0.0,70.0,83.0,92.0,104.0,277.0
map_300_slope,MAP,0.0,-0.19076817303895952,-0.017173874657601118,0.0002809013822115958,0.020030222833156586,0.19020880341529672
map_600_missing,MAP,0.0,0.0,0.0,0.0,0.0,0.013333333656191826
map_600_mean,MAP,0.0,65.98999786376953,77.59749794006348,84.74666595458984,93.0999984741211,116.76333618164062
map_600_std,MAP,0.0,1.0025449514389038,2.8419461846351624,4.624352931976318,8.262465238571167,49.82335025787349
map_600_min,MAP,0.0,22.0,66.0,73.0,81.0,102.0
map_600_max,MAP,0.0,72.0,87.0,97.0,111.0,289.0
map_600_slope,MAP,0.0,-0.08433238066732883,-0.011514878133311868,0.0009602884238120168,0.014860581839457154,0.09124486044049257
map_current,MAP,0.0,66.0,77.0,84.0,93.0,131.0
map_age,MAP,0.0,0.0,0.49000000953674316,0.9700000286102295,1.4600000381469727,1.9600000381469727
sbp_60_missing,SBP/DBP,0.0,0.0,0.0,0.0,0.0,0.06666667014360428
sbp_60_mean,SBP/DBP,0.0,90.33333587646484,108.53333282470703,118.76667022705078,130.76666259765625,168.8333282470703
sbp_60_std,SBP/DBP,0.0,0.6182412505149841,1.422048568725586,2.057236433029175,3.0976693630218506,12.845640726089444
sbp_60_min,SBP/DBP,0.0,84.0,104.0,114.0,126.0,161.0
sbp_60_max,SBP/DBP,0.0,94.0,113.0,123.0,136.0,184.0
sbp_60_slope,SBP/DBP,0.0,-0.3484360432624817,-0.05272525176405907,-0.0055617354810237885,0.043826472014188766,0.37474972009658813
sbp_300_missing,SBP/DBP,0.0,0.0,0.0,0.0,0.0,0.13333334028720856
sbp_300_mean,SBP/DBP,0.0,91.03333282470703,108.62666320800781,118.73999786376953,130.2866668701172,164.53334045410156
sbp_300_std,SBP/DBP,0.0,1.1120551824569702,2.7058927416801453,4.107142925262451,6.545639991760254,26.634337959289528
sbp_300_min,SBP/DBP,0.0,37.0,98.0,108.0,119.0,150.0
sbp_300_max,SBP/DBP,0.0,98.0,118.0,130.0,144.0,242.0
sbp_300_slope,SBP/DBP,0.0,-0.14245165884494781,-0.02216431824490428,0.0004177963419351727,0.02616294100880623,0.17770000621676393
sbp_600_missing,SBP/DBP,0.0,0.0,0.0,0.0,0.0,0.09666666388511658
sbp_600_mean,SBP/DBP,0.0,91.10963386535644,108.56666564941406,118.50333404541016,129.55137634277344,161.1666717529297
sbp_600_std,SBP/DBP,0.0,1.5126475834846496,3.875580310821533,6.009018898010254,9.812333345413208,29.506553859710692
sbp_600_min,SBP/DBP,0.0,28.0,92.0,103.0,114.0,143.0
sbp_600_max,SBP/DBP,0.0,101.0,122.0,134.0,150.0,262.0
sbp_600_slope,SBP/DBP,0.0,-0.08429866082966328,-0.014252908295020461,0.0013849042588844895,0.019199241418391466,0.10511065565049647
sbp_current,SBP/DBP,0.4,89.0,108.0,119.0,131.0,170.0
sbp_age,SBP/DBP,0.0,0.0,0.5,0.9900000095367432,1.4900000095367432,7.099999904632568
dbp_60_missing,SBP/DBP,0.0,0.0,0.0,0.0,0.0,0.10000000149011612
dbp_60_mean,SBP/DBP,0.1,47.66666793823242,57.96666717529297,64.03333282470703,71.16666412353516,94.0999984741211
dbp_60_std,SBP/DBP,0.1,0.40688517689704895,0.843932569026947,1.2364825010299683,1.942507028579712,9.812407064437787
dbp_60_min,SBP/DBP,0.1,41.0,55.0,61.0,68.0,88.0
dbp_60_max,SBP/DBP,0.1,49.0,60.0,67.0,75.0,105.0
dbp_60_slope,SBP/DBP,0.1,-0.21947831138968468,-0.030812013894319534,-0.003448275849223137,0.025139043107628822,0.24327030777931213
dbp_300_missing,SBP/DBP,0.0,0.0,0.0,0.0,0.0,0.14000000059604645
dbp_300_mean,SBP/DBP,0.0,47.733333587646484,58.1574821472168,64.1066665649414,71.01333618164062,91.80000305175781
dbp_300_std,SBP/DBP,0.0,0.6514598727226257,1.5848729610443115,2.4330685138702393,3.8414406776428223,20.5942778778074
dbp_300_min,SBP/DBP,0.0,19.0,51.0,57.0,64.0,82.0
dbp_300_max,SBP/DBP,0.0,51.0,63.0,71.0,79.0,203.0
dbp_300_slope,SBP/DBP,0.0,-0.08288567960262298,-0.012190763838589191,0.00015111782704479992,0.013799724169075489,0.09514251366257637
dbp_600_missing,SBP/DBP,0.0,0.0,0.0,0.0,0.0,0.10333333164453506
dbp_600_mean,SBP/DBP,0.0,47.21666717529297,58.1966667175293,64.09333038330078,70.76712036132812,90.18973571777339
dbp_600_std,SBP/DBP,0.0,0.8640987873077393,2.2545042037963867,3.4477996826171875,5.328976154327393,21.67303916931151
dbp_600_min,SBP/DBP,0.0,10.0,48.0,54.0,61.0,79.0
dbp_600_max,SBP/DBP,0.0,53.0,66.0,74.0,83.0,230.0
dbp_600_slope,SBP/DBP,0.0,-0.047510320618748665,-0.007746558403596282,0.0007300081197172403,0.010039916960522532,0.05501815807074301
dbp_current,SBP/DBP,0.5,47.0,58.0,64.0,71.0,94.0
dbp_age,SBP/DBP,0.0,0.0,0.5,0.9900000095367432,1.4900000095367432,7.099999904632568
hr_60_missing,HR,0.0,0.0,0.0,0.0,0.0,0.23333333432674408
