feature,nhóm,n,rho
map_60_mean,MAP,290297,-0.2704666872165434
map_60_max,MAP,290297,-0.26337518400945037
rftn_ce_d300,Độ mê / thuốc mê,249397,-0.25279563764076396
sbp_60_mean,SBP/DBP,290222,-0.24710162257764862
map_300_mean,MAP,290297,-0.24594856960023123
sbp_60_max,SBP/DBP,290222,-0.24465931799822394
map_300_max,MAP,290297,-0.24235413323851318
sbp_300_max,SBP/DBP,290297,-0.24165121458593888
map_60_min,MAP,290297,-0.23902781912719298
sbp_300_mean,SBP/DBP,290297,-0.2343340664946438
sbp_60_min,SBP/DBP,290222,-0.22752318974939226
dbp_300_max,SBP/DBP,290222,-0.21526943500388154
map_current,MAP,290297,-0.21194556344684173
dbp_60_mean,SBP/DBP,290111,-0.21019470743515484
dbp_60_max,SBP/DBP,290111,-0.20727384426729004
dbp_300_mean,SBP/DBP,290222,-0.2011069076640118
map_600_slope,MAP,290297,-0.20044826661560133
sbp_current,SBP/DBP,289166,-0.19951837933177666
sbp_600_slope,SBP/DBP,290297,-0.19214131006593232
dbp_60_slope,SBP/DBP,290092,0.19158396255411114
dbp_60_min,SBP/DBP,290111,-0.1897446889971696
sbp_600_max,SBP/DBP,290297,-0.18785224102310502
dbp_600_slope,SBP/DBP,290237,-0.18526728071056878
map_300_std,MAP,290297,-0.18444681220099124
dbp_300_std,SBP/DBP,290222,-0.1828610214585009
map_600_mean,MAP,290297,-0.181746860436285
map_60_slope,MAP,290297,0.17999816037622662
sbp_60_slope,SBP/DBP,290207,0.17869431416334972
map_600_max,MAP,290297,-0.17640186056538976
sbp_600_mean,SBP/DBP,290297,-0.17621262350851777
dbp_600_max,SBP/DBP,290238,-0.16690787243322228
sbp_300_std,SBP/DBP,290297,-0.1657674049548134
dbp_current,SBP/DBP,288994,-0.16146389888337306
bt_pp_cur,Beat (ART waveform),281793,-0.15740476170254308
map_300_min,MAP,290297,-0.15597522835413033
sbp_300_min,SBP/DBP,290297,-0.15344546697633044
dbp_600_std,SBP/DBP,290238,-0.15188213143043075
dbp_600_mean,SBP/DBP,290238,-0.147910654167164
map_600_std,MAP,290297,-0.1438968278100681
sbp_600_std,SBP/DBP,290297,-0.13903197664236513
bt_dpdt_cur,Beat (ART waveform),281793,-0.13697815398684973
map_60_std,MAP,290297,-0.13530922222072367
etco2_600_slope,EtCO2/RR,289220,-0.1320779363371936
hr_300_std,HR,290152,-0.12150171976968305
dbp_300_min,SBP/DBP,290222,-0.12042944659756341
mac_d300,Độ mê / thuốc mê,288989,-0.11209682940976294
etco2_300_slope,EtCO2/RR,289151,-0.11008622328525919
bt_dpdt_d300,Beat (ART waveform),281070,-0.10850023837193615
sbp_60_missing,SBP/DBP,290297,-0.10825284088725777
hr_600_std,HR,290273,-0.10696724875634474
dbp_60_missing,SBP/DBP,290297,-0.10668910378381903
bt_pp_d300,Beat (ART waveform),281070,-0.106409617119291
dbp_60_std,SBP/DBP,290111,-0.10498146026720691
map_300_slope,MAP,290297,-0.10143820726655071
bt_co_lz_d300,Beat (ART waveform),281070,-0.09976477963587779
etco2_300_std,EtCO2/RR,289154,-0.09481036874391333
sbp_60_std,SBP/DBP,290222,-0.09478880617529382
hr_600_slope,HR,290270,-0.08486304880443367
sbp_300_slope,SBP/DBP,290297,-0.08460277892883558
ppf_ce_d300,Độ mê / thuốc mê,153854,-0.08354279328564325
sbp_600_min,SBP/DBP,290297,-0.08025487620926822
map_600_min,MAP,290297,-0.07920192603609097
etco2_60_max,EtCO2/RR,288998,-0.07766527044817918
etco2_600_std,EtCO2/RR,289221,-0.07606426675792709
etco2_current,EtCO2/RR,288872,-0.07358721113231581
etco2_60_mean,EtCO2/RR,288998,-0.07177017285388025
etco2_300_max,EtCO2/RR,289154,-0.07168207740060402
hr_300_max,HR,290152,-0.06908403003207784
dbp_300_slope,SBP/DBP,290221,-0.06793330496802259
hr_600_max,HR,290273,-0.06382162940923863
dbp_600_min,SBP/DBP,290238,-0.06348200372623643
hr_300_slope,HR,290146,-0.06287964813436844
etco2_60_min,EtCO2/RR,288998,-0.062103528008332354
rftn_ce_cur,Độ mê / thuốc mê,249580,-0.05989702339000078
bt_svr_lz_cur,Beat (ART waveform),281793,-0.058877899621089164
hr_60_max,HR,289365,-0.05663093273954001
bt_valid_frac_cur,Beat (ART waveform),282453,0.056338701165239875
bt_co_lz_cur,Beat (ART waveform),281793,-0.055274137651961285
sbp_300_missing,SBP/DBP,290297,-0.05396109371017686
hr_60_std,HR,289365,-0.05356920874997184
hr_60_mean,HR,289365,-0.05334668971464526
dbp_300_missing,SBP/DBP,290297,-0.0521060903906779
etco2_300_mean,EtCO2/RR,289154,-0.049372869943175336
rr_300_std,EtCO2/RR,288650,-0.04915041766282928
hr_current,HR,288165,-0.04820460240011681
etco2_600_max,EtCO2/RR,289221,-0.04771583171396925
hr_60_min,HR,289365,-0.045000177252289254
hr_300_mean,HR,290152,-0.044994095085387584
mac_cur,Độ mê / thuốc mê,289021,-0.04488872515556362
ppf_ce_cur,Độ mê / thuốc mê,153893,-0.04428609398778355
bt_sv_lz_d300,Beat (ART waveform),281070,-0.04371138298939018
sbp_600_missing,SBP/DBP,290297,-0.041397481558161045
etco2_60_std,EtCO2/RR,288998,-0.03951154792735599
dbp_600_missing,SBP/DBP,290297,-0.03935990767657948
cvp_d300,Thở máy / CVP,131939,-0.038976850173381
rr_300_slope,EtCO2/RR,288649,-0.03682963005027598
hr_600_mean,HR,290273,-0.03514569379341452
rr_600_std,EtCO2/RR,288706,-0.0350223234316514
rr_60_std,EtCO2/RR,288516,-0.03360506907698582
bt_valid_frac_d300,Beat (ART waveform),282199,0.033037203405254775
bt_svr_lz_d300,Beat (ART waveform),281070,-0.03192490385315674
cvp_cur,Thở máy / CVP,132201,-0.028756606590869083
rr_300_min,EtCO2/RR,288650,0.02737889778656645
bis_d300,Độ mê / thuốc mê,268502,0.026247854446579042
spo2_300_max,SpO2,290249,-0.025959379533631362
bt_ppv_d300,Beat (ART waveform),280967,0.02578887179161898
