tín hiệu,track,% ca có track,% thời gian mổ thiếu/cũ (median ca),% ca thiếu >20% thời gian,% mẫu không hữu hạn,tiêu chí bất thường,% mẫu bất thường,% mẫu ngoài BOUNDS/=0,% thời gian đứng yên ≥60 s,spike/giờ (mean)
ART MAP,Solar8000/ART_MBP,100.0,0.04,5.9,0.0,MAP < 20 hoặc > 200,0.699,0.104,0.3,5.78
ART SBP,Solar8000/ART_SBP,100.0,0.44,5.8,0.0,SBP < 30 hoặc > 260,0.153,0.058,0.06,1.88
ART DBP,Solar8000/ART_DBP,100.0,0.46,5.9,0.0,DBP < 10 hoặc > 160,0.212,0.125,,
HR,Solar8000/HR,100.0,0.03,0.8,0.0,HR < 25 hoặc > 200,0.162,0.148,5.96,2.07
SpO2,Solar8000/PLETH_SPO2,100.0,0.03,0.5,0.0,SpO2 < 50,0.011,0.0,,
EtCO2,Solar8000/ETCO2,99.8,0.03,0.4,0.0,EtCO2 > 80,0.0,0.0,,
RR,Solar8000/RR_CO2,99.6,0.03,0.4,0.0,RR > 60,0.0,0.0,,
NIBP MAP,Solar8000/NIBP_MBP,83.5,60.69,91.2,0.0,MAP < 20 hoặc > 200,0.003,,,
CVP,Solar8000/CVP,43.1,5.59,18.4,0.0,CVP < −5 hoặc > 40,5.37,,,
BIS,BIS/BIS,92.6,0.03,3.1,0.0,BIS = 0 hoặc > 100,1.403,,,
BIS SQI,BIS/SQI,92.6,0.1,3.3,0.0,SQI < 50 (BIS kém tin cậy),3.928,,,
Propofol Ce,Orchestra/PPF20_CE,53.6,0.03,2.6,0.0,Ce > 12 µg/mL,0.001,,,
Remifentanil Ce,Orchestra/RFTN20_CE,82.9,0.04,3.3,0.0,Ce > 20 ng/mL,0.0,,,
MAC,Primus/MAC,99.5,0.05,0.2,0.0,MAC > 3,0.001,,,
Nhiệt độ,Solar8000/BT,97.2,3.18,7.2,0.0,BT < 30 hoặc > 42,1.159,,,
