feature,mean_abs_shap,nhóm,share_%,tương quan giá trị–SHAP
map_600_min,0.2547594900200253,MAP,8.88393737788217,-0.823454087994781
map_current,0.23049663154021607,MAP,8.037846363466576,-0.4872428007704042
map_60_min,0.20247798749128787,MAP,7.060784118899031,-0.8612846969564054
mac_cur,0.14177254198321151,Độ mê / thuốc mê,4.94387229611356,0.9323749054688747
map_300_min,0.13285771652760353,MAP,4.632995747113773,-0.8708599142159898
ppf_ce_cur,0.12446488727606428,Độ mê / thuốc mê,4.340322176884567,-0.9029105312036072
rftn_ce_d300,0.12384796457419299,Độ mê / thuốc mê,4.3188089345319955,0.828292810220116
dbp_600_min,0.08840500160032366,SBP/DBP,3.0828468766643926,-0.850986293251492
bt_svr_lz_cur,0.08796211882344893,Beat (ART waveform),3.0674027302846505,-0.7703008865727751
dbp_current,0.08728064951567462,SBP/DBP,3.0436386277001315,-0.7670688225017644
dbp_300_min,0.08664653272912154,SBP/DBP,3.021525795626403,-0.8493868803818762
static_asa,0.060843710479027466,Static,2.121733379554123,0.9181497386657749
rftn_ce_cur,0.060518075318826026,Độ mê / thuốc mê,2.1103778756981573,-0.7547498324522549
dbp_60_slope,0.05689969767067807,SBP/DBP,1.9841983153875749,-0.3359840580446153
sbp_60_slope,0.05683183361648041,SBP/DBP,1.9818317695617305,-0.47385085152093853
bt_svr_lz_d300,0.05298720356778388,Beat (ART waveform),1.847762367118433,-0.4784405445723256
mac_d300,0.05291681623017793,Độ mê / thuốc mê,1.845307829705762,0.6206019761824896
hr_600_std,0.05117155198107232,HR,1.784447218406485,0.7127631395403796
sbp_300_std,0.049906794370046706,SBP/DBP,1.7403427675235437,0.6657769960678355
etco2_300_std,0.04578073995954241,EtCO2/RR,1.5964595740151355,0.36075139670575573
bt_sv_lz_cur,0.04560603425612153,Beat (ART waveform),1.5903672611100186,0.8181558803789141
sbp_600_std,0.03842332358094388,SBP/DBP,1.3398927769732032,0.5657932017754846
map_300_std,0.03669235916671498,MAP,1.2795308275198454,0.39948803048767423
bt_co_lz_d300,0.03628265767050498,Beat (ART waveform),1.2652437741281612,0.5567056403014576
preop_hb,0.03153766243957827,Static,1.0997769627187455,-0.5600332064099188
hr_60_slope,0.02893759500981502,HR,1.0091077742128647,0.37334667179038317
static_bmi,0.02527163419804856,Static,0.8812689004620053,0.2037836377879471
hr_300_slope,0.024227593902723277,HR,0.8448612730055115,0.4644139975456548
sbp_600_min,0.024186946913020133,SBP/DBP,0.8434438368538935,0.8223828664779208
bis_cur,0.022545173344163054,Độ mê / thuốc mê,0.7861921381115152,0.5243291607331989
map_600_mean,0.0212272305173451,MAP,0.7402330198067983,-0.6067273245185869
hr_600_max,0.02087583869921505,HR,0.7279793333705359,0.7649561448929666
dbp_600_mean,0.020752592082347646,SBP/DBP,0.7236814945493018,-0.6288107167774467
dbp_600_std,0.019848594875881274,SBP/DBP,0.6921574301409597,0.6581468565009301
static_age,0.018940450086311744,Static,0.6604887317935437,-0.5164561428085785
peep_cur,0.018744930494190036,Thở máy / CVP,0.6536705998667536,-0.7675106144824028
bt_pp_cur,0.01720720423992282,Beat (ART waveform),0.6000472245563327,0.7850057581953012
map_60_slope,0.015948881932527758,MAP,0.5561671846833873,-0.00039393642467013435
hr_60_std,0.014709445658299196,HR,0.5129457359230031,-0.7636824640145033
etco2_300_min,0.013985155147906906,EtCO2/RR,0.4876883783375658,-0.7742591803194101
bt_dpdt_cur,0.012917243838274377,Beat (ART waveform),0.45044832420195036,0.5892985771254984
sbp_300_min,0.012874250055901745,SBP/DBP,0.44894905102391597,0.6682584540049162
sbp_60_max,0.012302850612928946,SBP/DBP,0.4290232894017362,0.536076623392801
rr_600_mean,0.010797727821725738,EtCO2/RR,0.37653685750464977,-0.7587749744513014
etco2_600_slope,0.010643204895093294,EtCO2/RR,0.3711483555746852,0.699331313945535
hr_60_min,0.01038472860866357,HR,0.3621348065911764,0.6310799094609568
sbp_600_slope,0.009597191268229522,SBP/DBP,0.33467191437620925,0.6752847772222498
bt_ppv_cur,0.009319031398914126,Beat (ART waveform),0.32497196223765057,0.09041983943353908
hr_300_std,0.008803869389390252,HR,0.307007304545353,0.6149689923466749
map_60_mean,0.008584451844939913,MAP,0.29935580656051936,-0.3370876219522983
ppf_ce_d300,0.007651972730218798,Độ mê / thuốc mê,0.2668385250228847,0.5756174497184104
spo2_600_max,0.0075991931389075345,SpO2,0.26499800248139815,0.7151495546483936
dbp_300_slope,0.007267398908239688,SBP/DBP,0.25342772037978123,0.30073482182104433
etco2_600_mean,0.007211698503922012,EtCO2/RR,0.251485343654808,-0.6137964014366095
bis_d300,0.007111186650254437,Độ mê / thuốc mê,0.2479803083226702,0.04699377804866987
map_300_mean,0.0066461121030006,MAP,0.23176229362368797,-0.5131316469029946
