,map_current,map_300_mean,map_300_slope,map_300_std,map_600_min,sbp_current,dbp_current,hr_current,hr_300_slope,spo2_current,etco2_current,etco2_300_slope,rr_current,bt_sv_lz_cur,bt_sv_lz_d300,bt_svr_lz_cur,bt_svr_lz_d300,bt_co_lz_d300,bt_ppv_cur,bt_ppv_d300,bt_dpdt_cur,bt_dpdt_d300,bt_pp_cur,bis_cur,bis_d300,ppf_ce_cur,ppf_ce_d300,rftn_ce_cur,rftn_ce_d300,mac_cur,peep_cur,cvp_cur,static_age,static_asa,static_bmi,preop_hb,preop_htn
map_current,1.0,0.834805988013832,0.2786606850623128,0.2574226178369724,0.5799699077398088,0.8209085079915573,0.886858732541328,0.023161843619493548,0.08364705297733717,0.06503986385699217,0.08254391771879147,0.11437674794506533,0.004879620117742712,-0.17433486335580758,0.01724844058877787,0.4998177364791794,0.20463520292938753,0.08743347564559409,-0.020356813798562978,0.005428550435850233,0.32826745350052566,0.24512556450033146,0.3523935833804451,0.0176478726715616,0.04198243203199209,0.06067214919166462,0.01791170963633297,0.19619873123782555,0.13551168384825799,-0.050381046945073046,-0.026421201344893015,0.07547805192220174,-0.05270156783203216,-0.03868689603187219,0.015597300412985677,0.07819774203045887,-0.01895131368212533
map_300_mean,0.834805988013832,1.0,-0.05758845786449335,0.3332429137682541,0.6479382825733074,0.6778875272841172,0.7533152484397428,0.00889799537954067,0.011155487407312186,0.05524978589928462,0.08433991408706862,0.04753212473351525,0.014344506686303604,-0.17643063830695854,0.03136608330782579,0.47176308335561995,-0.03079106871732609,0.04613546593089742,-0.022496122765631354,0.01411610116340294,0.2898086487333926,0.021423261271002244,0.3052771127938474,-0.01549682377999973,-0.010475146758562882,0.09872403073678147,0.0540775571576135,0.2548572108098499,0.23630908910259674,-0.03625041410492354,-0.02533450811817538,0.06311966149056182,-0.054774550857036856,-0.03726127411503686,0.015284953690400593,0.07728547068029493,-0.01805673091769124
map_300_slope,0.2786606850623128,-0.05758845786449335,1.0,0.09068364190597791,-0.13831807598836965,0.2598044798150985,0.21990083482881925,0.042194327266749265,0.19117293904566648,0.022536226991829687,0.012286468820875321,0.2384032191090579,-0.018082194868960167,0.006169177945897651,-0.004005928968947758,0.07945899223374546,0.5907466200239448,0.14042964562299337,0.03197375790118823,-0.02195472596757966,0.12453655977234028,0.6015169978591031,0.14727525303507769,0.0830823756685833,0.11632935573585784,-0.08528979203701842,-0.06344444926683278,-0.09842320354403125,-0.1280339215030988,-0.03489821294084346,-0.004972898572802433,0.03653536617809691,0.010501473211594026,0.010051557653475087,-0.003037193564240351,-0.005941211477086607,-0.001689531133617005
map_300_std,0.2574226178369724,0.3332429137682541,0.09068364190597791,1.0,-0.13199031465166952,0.20847910721984902,0.2097974957769321,0.13512007185576735,0.05434358817533437,-0.0018724185911979455,0.012628956738314587,0.0600423174115873,-0.03588438341381528,-0.026882626749799146,0.033675540941752125,0.055769278796392235,0.04639685878676433,0.07928955962112326,0.18996437233256838,0.012571580950145968,0.12450543004603935,0.10260655171851271,0.11544048570158082,0.004745380325752049,-0.0004272055456320859,0.002492380115458555,0.03189664033247121,0.058885245072907454,0.07714397233817365,0.024793059656679883,-0.013426564316271521,0.014019589118839425,0.04648835344381784,0.026974594461089813,-0.013331623008860663,-0.019391247921960043,-0.0046133629633978105
map_600_min,0.5799699077398088,0.6479382825733074,-0.13831807598836965,-0.13199031465166952,1.0,0.45432160771707497,0.5429848431364069,-0.07929357902136487,-0.02396339559656578,0.044575624207170865,0.060492119189409194,-0.05468512909250521,0.04595650104569434,-0.1662607189225104,-0.05776035412546772,0.40113927079245176,-0.09992424130206742,-0.0638457663501704,-0.09752733982683641,0.09834248755866482,0.1568067526400467,-0.15282173175553912,0.16965225249038052,-0.02791736507680833,-0.009811280325254525,0.10802267179654221,0.03112521736056171,0.24474278202481548,0.13198805958465526,-0.048736603887724814,-0.007634540411390191,0.04004728326531546,-0.08342017384070709,-0.0577516172098923,0.026677709376470047,0.08134626181418551,-0.020652721038230022
sbp_current,0.8209085079915573,0.6778875272841172,0.2598044798150985,0.20847910721984902,0.45432160771707497,1.0,0.593498657320344,-0.005813538845444709,0.07590263177701317,0.08151305953134785,0.09768545940966755,0.1185262262560686,0.02678424148604633,0.29154981490100457,0.09370067456706652,0.1564857762293404,0.17256873794866098,0.14205355459853708,-0.15378207038843988,-0.028185747057365873,0.6670226138707378,0.2908309426122546,0.7589273784108816,0.058861952939196355,0.046630468160589425,0.07742450328833894,0.03340733926804704,0.2904842668297813,0.16467062669322136,-0.12864815691339324,-0.09128260727789905,0.021248257636482394,0.04349915788816682,0.041761745365516106,0.02182667462807508,0.011574094685978375,0.06520572799042688
dbp_current,0.886858732541328,0.7533152484397428,0.21990083482881925,0.2097974957769321,0.5429848431364069,0.593498657320344,1.0,0.08947711675865533,0.08472945269454583,0.04072075226067154,0.07674354000184244,0.0920054240826045,0.018641847757336946,-0.49701843641251403,-0.04376648449696423,0.6331269005747016,0.19338854849340564,0.03642424830972342,0.12383602542611737,0.023602212734953307,0.07857877743680446,0.1795141460567306,0.027469817679334246,-0.03453365700523364,0.031092797236986654,0.05568128973678612,0.004980264344298901,0.1447650823944997,0.09000213117082494,-0.016833931286677966,0.0027745878018951707,0.08459705175819737,-0.20481250679236526,-0.10198667044036085,0.05179263978868362,0.1563955802618697,-0.08654229039145875
hr_current,0.023161843619493548,0.00889799537954067,0.042194327266749265,0.13512007185576735,-0.07929357902136487,-0.005813538845444709,0.08947711675865533,1.0,0.12742285615628615,-0.021802607232999732,0.09669654907053332,0.008386151449783804,0.10766225526618145,-0.10855630083949853,-0.03255658279866616,-0.44776285344695826,-0.00359804036744195,0.07033654595398166,0.24454693994604756,0.00819002963002651,0.0841682787733082,0.035842682417937595,-0.06411627901799971,0.03748419154431278,-0.004057614303008623,0.1155729174108179,0.0206107358786404,0.04616122400714955,0.02461331641324126,-0.01471071918863627,-0.0652546160656035,-0.046981017570052186,-0.0790374273645906,0.05081240849758277,-0.10298059342614524,-0.07225776636879432,-0.05083031417405238
hr_300_slope,0.08364705297733717,0.011155487407312186,0.19117293904566648,0.05434358817533437,-0.02396339559656578,0.07590263177701317,0.08472945269454583,0.12742285615628615,1.0,0.0031252304528924303,0.037824652704376516,0.14201433386310056,-0.009079380014438308,-0.022212920205753266,-0.11557421418530413,-0.009143241717447802,-0.0759824603538118,0.36169524496488836,0.030937561046585873,0.06435142660352797,0.037134624464415435,0.14677503176332657,0.02921943413430356,0.0063870755953451186,0.004221143586814426,0.011626215905065105,0.03220254652447047,-0.05252499179945957,-0.026658288476302118,0.026858107980344683,0.01040022019876066,0.017292117071052767,-0.0008468026860752049,-0.0021966661478510447,-3.465824759173453e-05,0.005280845464091145,0.003171186891085826
spo2_current,0.06503986385699217,0.05524978589928462,0.022536226991829687,-0.0018724185911979455,0.044575624207170865,0.08151305953134785,0.04072075226067154,-0.021802607232999732,0.0031252304528924303,1.0,-0.044256542436511996,-0.002241737021401651,-0.06100859521581939,0.038961468041563134,0.01506816286945315,0.011455828041796602,0.014606996069743798,0.015948745027736248,-0.0042468231890202286,-0.007337335720759836,0.07211495246092671,0.029732454341740832,0.07175445553277901,-0.018375282192792275,0.01249324008026412,0.020705788560329574,-0.019162316938939387,0.038035422998226535,0.005431805082295034,-0.05991168595032827,-0.05350314543281114,-0.046516560725469475,-0.12335549997844558,-0.043779231620708896,-0.1866934739891805,-0.13477310969497078,-0.06470316962487067
