feature,nhóm,auroc_y_300,hướng_y_300,n_y_300,auroc_y_600,hướng_y_600,n_y_600
map_current,MAP,0.8074196769523201,thấp → nguy cơ,381904.0,0.7513914140277691,thấp → nguy cơ,362021.0
map_60_min,MAP,0.8072564636120979,thấp → nguy cơ,381904.0,0.7569470103039397,thấp → nguy cơ,362021.0
dbp_current,SBP/DBP,0.7975516888521611,thấp → nguy cơ,380262.0,0.7517492391980666,thấp → nguy cơ,360472.0
map_300_min,MAP,0.7893965986192115,thấp → nguy cơ,381904.0,0.7562497292185254,thấp → nguy cơ,362021.0
dbp_60_min,SBP/DBP,0.7873411376112792,thấp → nguy cơ,381698.0,0.7485492328456145,thấp → nguy cơ,361848.0
map_60_mean,MAP,0.7778330253290759,thấp → nguy cơ,381904.0,0.7332908246752425,thấp → nguy cơ,362021.0
dbp_60_mean,SBP/DBP,0.7768238404639053,thấp → nguy cơ,381698.0,0.7399428678243467,thấp → nguy cơ,361848.0
dbp_300_min,SBP/DBP,0.7672205981533401,thấp → nguy cơ,381838.0,0.7424974023879609,thấp → nguy cơ,361977.0
map_600_min,MAP,0.7625860023304738,thấp → nguy cơ,381904.0,0.7406331365007628,thấp → nguy cơ,362021.0
dbp_60_max,SBP/DBP,0.7555893041023694,thấp → nguy cơ,381698.0,0.7226400978776679,thấp → nguy cơ,361848.0
map_60_max,MAP,0.7513038737442695,thấp → nguy cơ,381904.0,0.7126104802567219,thấp → nguy cơ,362021.0
dbp_600_min,SBP/DBP,0.7418763889926288,thấp → nguy cơ,381858.0,0.7266084580545581,thấp → nguy cơ,361997.0
dbp_300_mean,SBP/DBP,0.7340015890044347,thấp → nguy cơ,381838.0,0.7192786226300971,thấp → nguy cơ,361977.0
dbp_600_mean,SBP/DBP,0.7291800440850111,thấp → nguy cơ,381858.0,0.7224996032775706,thấp → nguy cơ,361997.0
bt_svr_lz_cur,Beat (ART waveform),0.722489092773698,thấp → nguy cơ,370952.0,0.7047638192771208,thấp → nguy cơ,351730.0
map_300_mean,MAP,0.7207690193595133,thấp → nguy cơ,381904.0,0.7026403881450438,thấp → nguy cơ,362021.0
sbp_current,SBP/DBP,0.7187330665207159,thấp → nguy cơ,380440.0,0.6630879654981612,thấp → nguy cơ,360619.0
map_600_mean,MAP,0.7136823183262624,thấp → nguy cơ,381904.0,0.7059057100497574,thấp → nguy cơ,362021.0
sbp_60_min,SBP/DBP,0.701313849514603,thấp → nguy cơ,381809.0,0.6547349639656312,thấp → nguy cơ,361930.0
sbp_300_min,SBP/DBP,0.6914830011396316,thấp → nguy cơ,381904.0,0.6616545584197853,thấp → nguy cơ,362021.0
sbp_60_mean,SBP/DBP,0.6908577434007436,thấp → nguy cơ,381809.0,0.6467257840636262,thấp → nguy cơ,361930.0
sbp_600_min,SBP/DBP,0.6806794016239659,thấp → nguy cơ,381904.0,0.6616867356292004,thấp → nguy cơ,362021.0
sbp_60_max,SBP/DBP,0.6745359564096698,thấp → nguy cơ,381809.0,0.6338181017647944,thấp → nguy cơ,361930.0
dbp_300_max,SBP/DBP,0.6659248435646152,thấp → nguy cơ,381838.0,0.6626747528717143,thấp → nguy cơ,361977.0
sbp_60_slope,SBP/DBP,0.6532738619070894,thấp → nguy cơ,381790.0,0.5940534120820484,thấp → nguy cơ,361912.0
map_60_slope,MAP,0.6476277665958127,thấp → nguy cơ,381904.0,0.5910422486277647,thấp → nguy cơ,362021.0
