,control median,control count,event median,event count
dlog_map,0.0,5754.0,-0.05971923470162231,4757.0
dlog_bt_sv_lz,-0.0008618925340532374,5604.0,0.0038853599329496135,4605.0
dlog_bt_hr,-0.0017930005042314646,5604.0,-0.0012322655740558677,4605.0
dlog_bt_svr_lz,0.0007350931386454191,5604.0,-0.06692223030571322,4605.0
d_bt_ppv,0.1373882293701172,5604.0,0.7954998016357422,4599.0
dlog_bt_dpdt,-0.004283138413984625,5604.0,-0.07036817663719117,4605.0
d_bis,0.3999999999999986,5284.0,-0.10000000000000142,4457.0
d_ppf_ce,0.0,3070.0,0.0,2359.0
d_rftn_ce,0.0,4759.0,0.0,3917.0
d_mac,0.0,5729.0,0.0,4737.0
d_cvp,0.0,2258.0,0.0,2681.0
d_ev_svr,-9.5,379.0,-22.5,642.0
d_ev_svv,0.10000000000000031,978.0,0.1999999999999993,1211.0
