nhóm,track,ca eligible có track,% eligible,file đã tải
core,Solar8000/ART_MBP,3626,100.0,3626
core,Solar8000/ART_SBP,3626,100.0,3626
core,Solar8000/ART_DBP,3626,100.0,3626
core,Solar8000/HR,3626,100.0,3626
core,Solar8000/PLETH_SPO2,3626,100.0,3626
core,Solar8000/ETCO2,3618,99.8,3618
core,Solar8000/RR_CO2,3612,99.6,3612
hemodynamic,Solar8000/ART_MBP,3626,100.0,3626
hemodynamic,Solar8000/ART_SBP,3626,100.0,3626
hemodynamic,Solar8000/ART_DBP,3626,100.0,3626
hemodynamic,Solar8000/HR,3626,100.0,3626
hemodynamic,Solar8000/PLETH_HR,3626,100.0,3626
hemodynamic,Solar8000/NIBP_MBP,3028,83.5,3028
hemodynamic,Solar8000/NIBP_SBP,3018,83.2,3018
hemodynamic,Solar8000/NIBP_DBP,3018,83.2,3018
hemodynamic,Solar8000/CVP,1563,43.1,1563
hemodynamic,Solar8000/FEM_MBP,111,3.1,111
hemodynamic,Solar8000/BT,3523,97.2,3535
hemodynamic,Solar8000/PLETH_SPO2,3626,100.0,3626
cardiac_output,EV1000/SV,590,16.3,590
cardiac_output,EV1000/SVI,590,16.3,590
cardiac_output,EV1000/SVV,590,16.3,590
cardiac_output,EV1000/CO,590,16.3,590
cardiac_output,EV1000/CI,590,16.3,590
cardiac_output,EV1000/SVR,239,6.6,239
cardiac_output,EV1000/SVRI,239,6.6,239
cardiac_output,EV1000/CVP,221,6.1,221
cardiac_output,EV1000/ART_MBP,565,15.6,565
cardiac_output,Vigileo/SV,321,8.9,321
cardiac_output,Vigileo/SVI,321,8.9,321
cardiac_output,Vigileo/SVV,321,8.9,321
cardiac_output,Vigileo/CO,321,8.9,321
cardiac_output,Vigileo/CI,321,8.9,321
anesthetic_depth,BIS/BIS,3357,92.6,3357
anesthetic_depth,BIS/SQI,3357,92.6,3357
anesthetic_depth,BIS/SR,3326,91.7,3326
anesthetic_depth,Primus/MAC,3608,99.5,3608
anesthetic_depth,Primus/EXP_SEVO,2270,62.6,2270
anesthetic_depth,Primus/EXP_DES,1161,32.0,1161
anesthetic_depth,Primus/FEN2O,3608,99.5,3608
anesthetic_depth,Orchestra/PPF20_CE,1944,53.6,1944
anesthetic_depth,Orchestra/PPF20_CP,1944,53.6,1944
anesthetic_depth,Orchestra/PPF20_RATE,1944,53.6,1944
anesthetic_depth,Orchestra/PPF20_VOL,1944,53.6,1944
anesthetic_depth,Orchestra/RFTN20_CE,3007,82.9,3008
anesthetic_depth,Orchestra/RFTN20_CP,3007,82.9,3007
anesthetic_depth,Orchestra/RFTN20_RATE,3008,83.0,3008
anesthetic_depth,Orchestra/RFTN20_VOL,3008,83.0,3009
anesthetic_depth,Orchestra/RFTN50_CE,60,1.7,61
anesthetic_depth,Orchestra/RFTN50_RATE,60,1.7,61
vasoactive,Orchestra/PHEN_RATE,115,3.2,115
vasoactive,Orchestra/PHEN_VOL,115,3.2,115
vasoactive,Orchestra/NEPI_RATE,79,2.2,79
vasoactive,Orchestra/NEPI_VOL,79,2.2,79
vasoactive,Orchestra/EPI_RATE,6,0.2,6
vasoactive,Orchestra/EPI_VOL,6,0.2,6
vasoactive,Orchestra/DOPA_RATE,27,0.7,27
vasoactive,Orchestra/DOPA_VOL,27,0.7,27
vasoactive,Orchestra/DOBU_RATE,3,0.1,3
vasoactive,Orchestra/DOBU_VOL,3,0.1,3
vasoactive,Orchestra/VASO_RATE,1,0.0,1
vasoactive,Orchestra/VASO_VOL,1,0.0,1
vasoactive,Orchestra/NTG_RATE,31,0.9,31
vasoactive,Orchestra/NTG_VOL,31,0.9,31
vasoactive,Orchestra/NPS_RATE,1,0.0,1
vasoactive,Orchestra/NPS_VOL,1,0.0,1
vasoactive,Orchestra/PGE1_RATE,83,2.3,83
vasoactive,Orchestra/PGE1_VOL,83,2.3,83
vasoactive,Orchestra/DTZ_RATE,2,0.1,2
vasoactive,Orchestra/DTZ_VOL,2,0.1,2
vasoactive,Orchestra/ROC_RATE,266,7.3,266
vasoactive,Orchestra/ROC_VOL,266,7.3,266
ventilation,Solar8000/ETCO2,3618,99.8,3618
ventilation,Solar8000/RR_CO2,3612,99.6,3612
ventilation,Primus/ETCO2,3608,99.5,3608
ventilation,Primus/PEEP_MBAR,3591,99.0,3591
ventilation,Primus/PIP_MBAR,3597,99.2,3597
ventilation,Primus/PPLAT_MBAR,3591,99.0,3591
ventilation,Primus/TV,3604,99.4,3604
ventilation,Primus/MV,3606,99.4,3606
ventilation,Primus/COMPLIANCE,3603,99.4,3603
waveform,SNUADC/ART → beat features,3548,97.8,3548
