track,ca mẫu,chu kỳ lấy mẫu median (s),p1,p50,p99,% giá trị ≤0,% không hữu hạn
BIS/BIS,80,1.0,0.0,39.7,91.7,8.5,0.0
BIS/SQI,80,1.0,0.0,92.3,100.0,6.7,0.0
BIS/SR,80,1.0,0.0,0.0,25.8,89.2,0.0
EV1000/ART_MBP,80,2.0,54.0,80.0,114.0,0.0,0.0
EV1000/CI,80,2.0,1.6,3.1,6.3,0.0,0.0
EV1000/CO,80,2.0,2.4,5.1,9.8,0.0,0.0
EV1000/CVP,80,2.0,0.0,7.0,17.0,2.8,0.0
EV1000/SV,80,2.0,29.0,68.0,138.0,0.0,0.0
EV1000/SVI,80,2.0,18.0,39.0,74.0,0.0,0.0
EV1000/SVR,80,2.0,372.0,1064.0,2615.0,0.0,0.0
EV1000/SVRI,80,2.0,740.0,1829.0,4118.0,0.0,0.0
EV1000/SVV,80,2.0,2.7,9.2,29.6,0.0,0.0
Orchestra/DOBU_RATE,3,1.01,0.1,0.1,20.0,0.3,0.0
Orchestra/DOBU_VOL,3,1.01,0.02,0.52,12.47,0.1,0.0
Orchestra/DOPA_RATE,27,1.01,0.1,18.1,80.1,0.7,0.0
Orchestra/DOPA_VOL,27,1.01,0.26,27.94,165.93,0.3,0.0
Orchestra/DTZ_RATE,2,1.0,0.1,20.1,20.1,1.0,0.0
Orchestra/DTZ_VOL,2,1.0,0.0,13.69,37.97,1.1,0.0
Orchestra/EPI_RATE,6,1.01,0.1,16.8,120.0,0.5,0.0
Orchestra/EPI_VOL,6,1.01,0.0,14.46,82.65,0.6,0.0
Orchestra/NEPI_RATE,79,1.01,0.1,8.0,44.0,0.8,0.0
Orchestra/NEPI_VOL,79,1.01,0.02,10.44,79.78,0.3,0.0
Orchestra/NPS_RATE,1,0.99,0.1,0.1,12.7,0.1,0.0
Orchestra/NPS_VOL,1,0.99,0.0,3.86,3.95,0.5,0.0
Orchestra/NTG_RATE,31,0.99,0.1,5.8,12.2,0.5,0.0
Orchestra/NTG_VOL,31,0.99,0.01,7.09,41.79,0.5,0.0
Orchestra/PGE1_RATE,80,0.99,0.0,20.0,26.4,1.7,0.0
Orchestra/PGE1_VOL,80,0.99,0.01,26.65,98.87,0.6,0.0
Orchestra/PHEN_RATE,80,0.99,0.0,10.0,30.0,1.6,0.0
Orchestra/PHEN_VOL,80,0.99,0.03,10.32,96.33,0.4,0.0
Orchestra/PPF20_CE,80,0.99,0.0,3.0,5.0,2.5,0.0
Orchestra/PPF20_CP,80,0.99,0.0,3.0,5.1,2.3,0.0
Orchestra/PPF20_RATE,80,0.99,0.0,16.83,55.86,13.0,0.0
Orchestra/PPF20_VOL,80,0.99,0.0,40.34,127.01,2.3,0.0
Orchestra/RFTN20_CE,80,0.99,0.0,3.0,8.0,2.5,0.0
Orchestra/RFTN20_CP,80,0.99,0.0,3.0,8.01,2.2,0.0
Orchestra/RFTN20_RATE,80,0.99,0.0,16.68,114.79,19.6,0.0
Orchestra/RFTN20_VOL,80,0.99,0.0,26.7,260.7,2.5,0.0
Orchestra/RFTN50_CE,61,0.99,0.0,4.0,10.01,1.4,0.0
Orchestra/RFTN50_RATE,61,0.99,0.0,11.89,49.74,14.6,0.0
Orchestra/ROC_RATE,80,0.99,0.1,7.1,15.1,0.4,0.0
Orchestra/ROC_VOL,80,0.99,0.05,17.02,86.11,0.2,0.0
Orchestra/VASO_RATE,1,1.01,0.1,4.1,12.1,0.0,0.0
Orchestra/VASO_VOL,1,1.01,0.63,6.29,9.03,0.0,0.0
Primus/COMPLIANCE,80,7.03,13.24,30.7,59.5,0.0,0.0
Primus/ETCO2,80,7.02,0.0,35.0,48.0,2.8,0.0
Primus/EXP_DES,80,7.0,0.0,0.0,7.7,61.2,0.0
Primus/EXP_SEVO,80,7.02,0.0,1.4,2.8,35.5,0.0
Primus/FEN2O,80,7.01,0.0,0.0,0.0,100.0,0.0
Primus/MAC,80,7.01,0.0,0.0,1.3,70.7,0.0
Primus/MV,80,7.04,0.9,5.9,10.5,0.4,0.0
Primus/PEEP_MBAR,80,7.03,0.0,5.0,8.0,30.0,0.0
Primus/PIP_MBAR,80,7.04,8.0,17.0,32.0,0.0,0.0
Primus/PPLAT_MBAR,80,7.02,7.0,16.0,31.0,0.0,0.0
Primus/TV,80,7.02,83.0,419.0,632.0,0.0,0.0
Solar8000/ART_DBP,80,2.0,-19.0,61.0,100.0,4.5,0.0
Solar8000/ART_MBP,80,2.0,-25.0,80.0,185.0,5.5,0.0
Solar8000/ART_SBP,80,2.0,-10.0,115.0,172.0,3.3,0.0
Solar8000/BT,80,2.0,21.5,35.8,37.1,0.0,0.0
Solar8000/CVP,80,2.0,-59.0,6.0,252.0,16.2,0.0
Solar8000/ETCO2,80,2.0,0.0,35.0,48.0,1.8,0.0
Solar8000/FEM_MBP,80,2.0,-23.0,70.0,118.0,2.9,0.0
Solar8000/HR,80,2.0,44.0,71.0,118.0,0.6,0.0
